trade_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20181228,600369.SH,20181228,3.42,3.58,3.41,3.48,3.41,0.07,2.0528,266249.72,93292.115
20181227,600369.SH,20181227,3.5,3.53,3.4,3.41,3.44,-0.03,-0.8721,149940.0,52085.226
20181226,600369.SH,20181226,3.49,3.5,3.42,3.44,3.48,-0.04,-1.1494,161218.56,55686.48
20181225,600369.SH,20181225,3.56,3.57,3.38,3.48,3.61,-0.13,-3.6011,268768.6,92810.373
20181224,600369.SH,20181224,3.65,3.67,3.58,3.61,3.62,-0.01,-0.2762,142856.13,51724.891
20181221,600369.SH,20181221,3.64,3.69,3.6,3.62,3.69,-0.07,-1.897,163675.88,59598.885
20181220,600369.SH,20181220,3.62,3.71,3.6,3.69,3.63,0.06,1.6529,215470.85,78753.702
20181219,600369.SH,20181219,3.75,3.75,3.63,3.63,3.73,-0.1,-2.681,171585.0,63141.074
20181218,600369.SH,20181218,3.78,3.81,3.68,3.73,3.8,-0.07,-1.8421,181855.91,67872.041
20181217,600369.SH,20181217,3.77,3.82,3.73,3.8,3.78,0.02,0.5291,147006.73,55564.995
20181214,600369.SH,20181214,3.86,3.87,3.76,3.78,3.88,-0.1,-2.5773,201875.75,77121.043
20181213,600369.SH,20181213,3.84,3.93,3.79,3.88,3.84,0.04,1.0417,297098.58,115232.541
20181212,600369.SH,20181212,3.82,3.88,3.81,3.84,3.82,0.02,0.5236,151484.02,58217.659
20181211,600369.SH,20181211,3.82,3.83,3.78,3.82,3.78,0.04,1.0582,142717.25,54265.446
20181210,600369.SH,20181210,3.83,3.83,3.75,3.78,3.83,-0.05,-1.3055,151148.9,57175.602
20181207,600369.SH,20181207,3.81,3.85,3.79,3.83,3.81,0.02,0.5249,144420.72,55129.619
20181206,600369.SH,20181206,3.86,3.87,3.75,3.81,3.89,-0.08,-2.0566,238882.95,90903.548
20181205,600369.SH,20181205,3.9,3.93,3.86,3.89,3.97,-0.08,-2.0151,232401.8,90553.814
20181204,600369.SH,20181204,3.93,3.98,3.91,3.97,3.93,0.04,1.0178,228119.75,90027.487
20181203,600369.SH,20181203,3.99,4.08,3.92,3.93,3.82,0.11,2.8796,460260.46,182922.001
20181130,600369.SH,20181130,3.76,3.84,3.69,3.82,3.76,0.06,1.5957,329443.63,124259.018
20181129,600369.SH,20181129,3.98,4.02,3.73,3.76,3.97,-0.21,-5.2897,420340.32,163719.815
20181128,600369.SH,20181128,3.85,4.0,3.81,3.97,3.87,0.1,2.584,489163.75,191970.329
20181127,600369.SH,20181127,3.88,3.92,3.8,3.87,3.85,0.02,0.5195,296425.16,114386.262
20181126,600369.SH,20181126,3.84,3.87,3.75,3.85,3.82,0.03,0.7853,256206.44,98244.925
20181123,600369.SH,20181123,3.96,4.01,3.81,3.82,3.98,-0.16,-4.0201,488881.47,190931.01
20181122,600369.SH,20181122,4.08,4.13,3.91,3.98,4.07,-0.09,-2.2113,542485.27,217454.59
20181121,600369.SH,20181121,4.01,4.14,4.0,4.07,4.07,0.0,0.0,519108.0,211051.009
20181120,600369.SH,20181120,4.29,4.38,4.04,4.07,4.33,-0.26,-6.0046,937377.42,395300.537
20181119,600369.SH,20181119,4.18,4.39,4.17,4.33,4.22,0.11,2.6066,990215.43,425389.437
20181116,600369.SH,20181116,4.16,4.43,4.13,4.22,4.17,0.05,1.199,1018406.98,434874.354
20181115,600369.SH,20181115,4.07,4.21,4.03,4.17,4.09,0.08,1.956,682216.44,282935.029
20181114,600369.SH,20181114,4.08,4.28,4.06,4.09,4.15,-0.06,-1.4458,929473.55,385598.39
20181113,600369.SH,20181113,3.88,4.29,3.85,4.15,3.93,0.22,5.598,1186540.1,481490.375
20181112,600369.SH,20181112,3.83,3.94,3.8,3.93,3.84,0.09,2.3438,514860.01,199121.94
20181109,600369.SH,20181109,3.81,3.9,3.79,3.84,3.81,0.03,0.7874,460330.75,177311.399
20181108,600369.SH,20181108,3.94,3.96,3.76,3.81,3.91,-0.1,-2.5575,647493.21,250815.349
20181107,600369.SH,20181107,3.9,3.95,3.86,3.91,3.93,-0.02,-0.5089,455856.79,178175.55
20181106,600369.SH,20181106,3.99,4.04,3.86,3.93,4.04,-0.11,-2.7228,718493.12,282187.505
20181105,600369.SH,20181105,4.03,4.08,3.94,4.04,4.04,0.0,0.0,721709.98,290412.963
20181102,600369.SH,20181102,4.05,4.1,3.95,4.04,3.98,0.06,1.5075,746710.74,300258.511
20181101,600369.SH,20181101,4.08,4.29,3.97,3.98,4.08,-0.1,-2.451,1175554.38,485215.768
20181031,600369.SH,20181031,4.15,4.23,4.04,4.08,4.28,-0.2,-4.6729,1140185.84,468861.176
20181030,600369.SH,20181030,3.93,4.31,3.78,4.28,3.92,0.36,9.1837,1727072.11,713639.617
20181029,600369.SH,20181029,3.91,4.04,3.89,3.92,4.01,-0.09,-2.2444,678817.56,267976.769
20181026,600369.SH,20181026,4.0,4.13,3.82,4.01,3.97,0.04,1.0076,1535422.71,613362.491
20181025,600369.SH,20181025,3.51,3.97,3.45,3.97,3.61,0.36,9.9723,1404334.05,524081.751
20181024,600369.SH,20181024,3.32,3.71,3.3,3.61,3.37,0.24,7.1217,1189549.41,425883.262
20181023,600369.SH,20181023,3.42,3.55,3.33,3.37,3.29,0.08,2.4316,858432.02,294805.058
20181022,600369.SH,20181022,3.01,3.29,3.01,3.29,2.99,0.3,10.0334,453488.62,145147.129
20181019,600369.SH,20181019,2.87,3.0,2.83,2.99,2.93,0.06,2.0478,359453.31,104588.668
20181018,600369.SH,20181018,2.96,2.97,2.91,2.93,2.98,-0.05,-1.6779,121036.39,35739.778
20181017,600369.SH,20181017,2.95,3.0,2.91,2.98,2.92,0.06,2.0548,138292.31,40816.905
20181016,600369.SH,20181016,2.96,3.02,2.88,2.92,2.96,-0.04,-1.3514,177060.0,52138.427
20181015,600369.SH,20181015,3.0,3.04,2.95,2.96,2.98,-0.02,-0.6711,134781.76,40441.879
20181012,600369.SH,20181012,3.05,3.08,2.92,2.98,3.09,-0.11,-3.5599,236586.76,71285.157
20181011,600369.SH,20181011,3.33,3.36,3.09,3.09,3.43,-0.34,-9.9125,250274.02,80736.052
20181010,600369.SH,20181010,3.44,3.46,3.41,3.43,3.43,0.0,0.0,65024.0,22320.819
20181009,600369.SH,20181009,3.49,3.5,3.4,3.43,3.47,-0.04,-1.1527,111760.28,38621.565
20181008,600369.SH,20181008,3.54,3.54,3.47,3.47,3.57,-0.1,-2.8011,138284.96,48368.958
20180928,600369.SH,20180928,3.55,3.58,3.53,3.57,3.54,0.03,0.8475,66810.68,23797.604
20180927,600369.SH,20180927,3.6,3.6,3.54,3.54,3.59,-0.05,-1.3928,65957.0,23529.462
20180926,600369.SH,20180926,3.59,3.63,3.57,3.59,3.58,0.01,0.2793,89822.14,32370.24
20180925,600369.SH,20180925,3.59,3.6,3.57,3.58,3.62,-0.04,-1.105,87015.14,31194.579
20180921,600369.SH,20180921,3.55,3.63,3.53,3.62,3.56,0.06,1.6854,165256.14,59276.78
20180920,600369.SH,20180920,3.57,3.59,3.55,3.56,3.57,-0.01,-0.2801,62371.48,22224.96
20180919,600369.SH,20180919,3.54,3.59,3.53,3.57,3.55,0.02,0.5634,89752.08,32023.513
20180918,600369.SH,20180918,3.5,3.57,3.48,3.55,3.5,0.05,1.4286,85033.0,29979.029
20180917,600369.SH,20180917,3.51,3.52,3.48,3.5,3.53,-0.03,-0.8499,72095.75,25211.181
20180914,600369.SH,20180914,3.54,3.54,3.52,3.53,3.54,-0.01,-0.2825,59325.0,20934.483
20180913,600369.SH,20180913,3.51,3.54,3.49,3.54,3.49,0.05,1.4327,91946.0,32321.683
20180912,600369.SH,20180912,3.49,3.53,3.48,3.49,3.5,-0.01,-0.2857,91088.98,31889.294
20180911,600369.SH,20180911,3.49,3.53,3.48,3.5,3.5,0.0,0.0,77849.42,27256.711
20180910,600369.SH,20180910,3.62,3.63,3.49,3.5,3.62,-0.12,-3.3149,156485.75,55182.533
20180907,600369.SH,20180907,3.61,3.66,3.6,3.62,3.62,0.0,0.0,82741.01,29984.18
20180906,600369.SH,20180906,3.63,3.66,3.61,3.62,3.63,-0.01,-0.2755,50859.0,18490.384
20180905,600369.SH,20180905,3.65,3.68,3.62,3.63,3.67,-0.04,-1.0899,92826.79,33936.2
20180904,600369.SH,20180904,3.62,3.68,3.6,3.67,3.61,0.06,1.662,126738.35,46159.02
20180903,600369.SH,20180903,3.64,3.65,3.58,3.61,3.65,-0.04,-1.0959,143679.2,51907.077
20180831,600369.SH,20180831,3.65,3.68,3.63,3.65,3.66,-0.01,-0.2732,77930.87,28455.429
20180830,600369.SH,20180830,3.69,3.71,3.65,3.66,3.7,-0.04,-1.0811,79124.77,29082.804
20180829,600369.SH,20180829,3.74,3.74,3.69,3.7,3.73,-0.03,-0.8043,70746.02,26222.067
20180828,600369.SH,20180828,3.77,3.77,3.72,3.73,3.77,-0.04,-1.061,75575.94,28326.732
20180827,600369.SH,20180827,3.71,3.78,3.7,3.77,3.71,0.06,1.6173,131301.63,49163.786
20180824,600369.SH,20180824,3.69,3.74,3.66,3.71,3.69,0.02,0.542,98346.27,36392.267
20180823,600369.SH,20180823,3.65,3.72,3.65,3.69,3.66,0.03,0.8197,100317.84,36951.795
20180822,600369.SH,20180822,3.67,3.68,3.64,3.66,3.68,-0.02,-0.5435,78036.0,28574.651
20180821,600369.SH,20180821,3.66,3.69,3.64,3.68,3.64,0.04,1.0989,105517.28,38709.336
